model,star,number of ratings,number of reviews,system apps,operating system,display,speaker,refresh rate,modes,warranty,price
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon",4.3,"58,242 Ratings "," 6,594 Reviews",1350 RPM Max Speed,5 Star Rating,2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,,,,2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,"₹6,790"
"LG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",4.4,841 Ratings , 80 Reviews,1400 rpm Max Speed,5 Star Rating,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,,,,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹34,490"
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,4.3,"25,050 Ratings "," 2,062 Reviews",700 rpm Max Speed,5 Star Rating,"For all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",,,,"For all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.","₹17,990"
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black",4.3,"10,490 Ratings "," 1,249 Reviews",1400 RPM Max Speed,5 Star Rating,2 Years Comprehensive and 5 Years on Wash Motor,,,,2 Years Comprehensive and 5 Years on Wash Motor,"₹9,990"
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White",4.2,"9,644 Ratings "," 1,118 Reviews",1350 rpm Max Speed,5 Star Rating,2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,,,,2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,"₹7,190"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,4.2,"3,959 Ratings ", 359 Reviews,740 rpm Max Speed,5 Star Rating,2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,,,,2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,"₹15,240"
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"12,241 Ratings ", 971 Reviews,800 rpm Max Speed,5 Star Rating,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,,,,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,"₹12,990"
LG 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,4.4,841 Ratings , 80 Reviews,1400 rpm Max Speed,5 Star Rating,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,,,,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹39,990"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"14,259 Ratings "," 1,654 Reviews",700 rpm Max Speed,5 Star Rating,2 Years Comprehensive Warranty on Product and 5 Years on Motor,,,,2 Years Comprehensive Warranty on Product and 5 Years on Motor,"₹12,290"
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine w...,4.4,"28,827 Ratings "," 2,800 Reviews",1000 rpm Max Speed,5 Star Rating,"For all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",,,,"For all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.","₹22,990"
